street_edge_id,geom,x1,y1,x2,y2,way_type,deleted,timestamp
19653,0102000020E610000004000000FE76233D56915EC0E966DA594FC24740E79CE96F53915EC03A36A73748C24740492D944C4E915EC0DBF6E2303DC24740A043CF1C48915EC03AF6A22C32C24740,-122.2700264,47.5171562,-122.2708886,47.5180466,secondary,t,2019-03-04 11:51:45.643298-08
19654,0102000020E610000002000000F90F4E4B60915EC070FE260B70C247400EC237A858915EC0DAB4ADC156C24740,-122.2710362,47.5182726,-122.271502329095,47.5190442982101,secondary,t,2019-03-04 11:51:45.643298-08
19655,0102000020E6100000030000006747AAEFFC905EC061E28FA2CEC147408FCEAF9CF3905EC07392F7BBC1C14740E4D5DE4CF1905EC0042B3D89BEC14740,-122.2647278,47.5136272,-122.265438,47.5141185,secondary,t,2019-03-04 11:51:45.643298-08
19656,0102000020E610000003000000147651F440915EC0AAD0E57228C247400AC5B18927915EC050FAE70E07C247409FA97C740F915EC0A14D6958E7C14740,-122.2665683,47.5148726,-122.2695895,47.5168594,secondary,t,2019-03-04 11:51:45.643298-08
19657,0102000020E6100000020000009FA97C740F915EC0A14D6958E7C147406747AAEFFC905EC061E28FA2CEC14740,-122.265438,47.5141185,-122.2665683,47.5148726,secondary,t,2019-03-04 11:51:45.643298-08
19658,0102000020E610000005000000174A8160E9905EC04425BF8FB4C14740B8C205EADE905EC0B7C9F2BFA6C14740B33F506EDB905EC006D50627A2C14740B392FBC2D0905EC0A29CC31094C1474089F3CBBBC5905EC01B608B8285C14740,-122.2620687,47.5118869,-122.2642442,47.5133228,secondary,t,2019-03-04 11:51:45.643298-08
19659,0102000020E61000000200000089F3CBBBC5905EC01B608B8285C147402B5327FBC2905EC0F981AB3C81C14740,-122.2619007,47.5117565,-122.2620687,47.5118869,secondary,t,2019-03-04 11:51:45.643298-08
19660,0102000020E610000002000000E4D5DE4CF1905EC0042B3D89BEC14740174A8160E9905EC04425BF8FB4C14740,-122.2642442,47.5133228,-122.2647278,47.5136272,secondary,t,2019-03-04 11:51:45.643298-08
19661,0102000020E610000002000000E0956E5C90905EC0F24C1E053EC14740D933958F6E905EC0E54C6E6F12C14740,-122.2567481,47.5083751,-122.2588111,47.5097052,secondary,t,2019-03-04 11:51:45.643298-08
19662,0102000020E610000002000000D933958F6E905EC0E54C6E6F12C147404C88B9A46A905EC0B898FAD40CC14740,-122.256509,47.5082041,-122.2567481,47.5083751,secondary,t,2019-03-04 11:51:45.643298-08
19663,0102000020E610000002000000F230A30E61905EC050954AD3FBC04740D2CB834F4E905EC008A63FA0D8C04740,-122.2547797,47.5066109,-122.2559239,47.5076851,secondary,t,2019-03-04 11:51:45.643298-08
19664,0102000020E6100000020000004C88B9A46A905EC0B898FAD40CC14740F230A30E61905EC050954AD3FBC04740,-122.2559239,47.5076851,-122.256509,47.5082041,secondary,t,2019-03-04 11:51:45.643298-08
19665,0102000020E6100000020000001140C5CC99905EC07A19C5724BC14740E0956E5C90905EC0F24C1E053EC14740,-122.2588111,47.5097052,-122.2593872,47.510115,secondary,t,2019-03-04 11:51:45.643298-08
19666,0102000020E6100000020000005DD83FF449905EC0E9ED748CD0C047407BA0D2D649905EC06E58D454D0C04740,-122.254506784144,47.5063577687114,-122.2545138,47.5063644,secondary,t,2019-03-04 11:51:45.643298-08
19667,0102000020E610000002000000D2CB834F4E905EC008A63FA0D8C0474098A839D44A905EC09A1CE32FD2C04740,-122.2545672,47.5064144,-122.2547797,47.5066109,secondary,t,2019-03-04 11:51:45.643298-08
19668,0102000020E61000000200000098A839D44A905EC09A1CE32FD2C047405DD83FF449905EC0E9ED748CD0C04740,-122.2545138,47.5063644,-122.2545672,47.5064144,secondary,t,2019-03-04 11:51:45.643298-08
19669,0102000020E61000000200000086257909A9905EC052842FA75FC147401140C5CC99905EC07A19C5724BC14740,-122.2593872,47.510115,-122.2603172,47.5107316,secondary,t,2019-03-04 11:51:45.643298-08
19670,0102000020E6100000030000002B5327FBC2905EC0F981AB3C81C147401785B8CDAF905EC05FE5756968C1474086257909A9905EC052842FA75FC14740,-122.2603172,47.5107316,-122.2619007,47.5117565,secondary,t,2019-03-04 11:51:45.643298-08
19671,0102000020E610000002000000A043CF1C48915EC03AF6A22C32C24740147651F440915EC0AAD0E57228C24740,-122.2695895,47.5168594,-122.2700264,47.5171562,secondary,t,2019-03-04 11:51:45.643298-08
19676,0102000020E610000005000000D8C68E7C94915EC0CF7FB4A448C24740CF6163038E915EC0A9CDEE7F36C247409A7CB3CD8D915EC03860FCD934C24740404B57B08D915EC0CB1E57D92DC24740ACEA40318D915EC0BAE7AF462CC24740,-122.2742427,47.5169762,-122.2746879,47.5178419,residential,t,2019-03-04 11:51:45.643298-08
20397,0102000020E610000003000000E0956E5C90905EC0F24C1E053EC14740441E1C4787905EC0BDC392173EC14740F409EAA573905EC0396FAD403EC14740,-122.2570586,47.5097123,-122.2588111,47.5097052,residential,t,2019-03-04 11:51:45.643298-08
20398,0102000020E610000003000000E0AEA8D260905EC08D9B1A683EC14740B04C09D256905EC01651137D3EC147402CA4575E4D905EC075875E903EC14740,-122.2547222,47.5097218,-122.2559096,47.509717,residential,t,2019-03-04 11:51:45.643298-08
20399,0102000020E6100000030000002CA4575E4D905EC075875E903EC14740A2B19BBE43905EC0697D80A43EC14740B94379D539905EC0F23279B93EC14740,-122.2535299,47.5097267,-122.2547222,47.5097218,residential,t,2019-03-04 11:51:45.643298-08
20401,0102000020E6100000030000005DAF9FB426905EC021133AF93EC147403F8ADFB91C905EC0CE14DFF53EC14740A9177C9A13905EC09EBE54223FC14740,-122.2511965,47.5097392,-122.2523624,47.5097343,residential,t,2019-03-04 11:51:45.643298-08
20402,0102000020E610000003000000B94379D539905EC0F23279B93EC147406A0D4A3D30905EC04B36C3B23EC147405DAF9FB426905EC021133AF93EC14740,-122.2523624,47.5097343,-122.2535299,47.5097267,residential,t,2019-03-04 11:51:45.643298-08
20403,0102000020E610000002000000A9177C9A13905EC09EBE54223FC14740A039460D01905EC0AA2457563FC14740,-122.2500642,47.5097454,-122.2511965,47.5097392,residential,t,2019-03-04 11:51:45.643298-08
20405,0102000020E61000000200000011A62897C6905EC0C9433A973DC1474096A1E018B8905EC0F8F5E8B23DC14740,-122.2612364,47.5096954,-122.262121,47.5096921,residential,t,2019-03-04 11:51:45.643298-08
20406,0102000020E610000002000000813D26529A905EC0699725F03DC14740E0956E5C90905EC0F24C1E053EC14740,-122.2588111,47.5097052,-122.259419,47.5097027,residential,t,2019-03-04 11:51:45.643298-08
20407,0102000020E61000000200000096A1E018B8905EC0F8F5E8B23DC14740813D26529A905EC0699725F03DC14740,-122.259419,47.5097027,-122.2612364,47.5096954,residential,t,2019-03-04 11:51:45.643298-08
20408,0102000020E610000003000000980DD70FD6905EC05ED5FE733DC147401D88D118D2905EC0C310397D3DC1474011A62897C6905EC0C9433A973DC14740,-122.262121,47.5096921,-122.2630653,47.5096879,residential,t,2019-03-04 11:51:45.643298-08
21718,0102000020E61000000200000010ABE4083E905EC0A6D590B8C7C147405411B8BF44905EC0B6CF74C0BFC14740,-122.2541961,47.5136643,-122.2537863,47.5139075,residential,t,2019-03-04 11:51:45.643298-08
23285,0102000020E610000003000000243A15BADC915EC084E5194520C24740DCCFCE0EDD915EC0B2B96A9E23C24740D01E7931DE915EC089FB7E202FC24740,-122.2791866,47.5170632,-122.2790971,47.5166098,secondary,t,2019-03-04 11:51:45.643298-08
23286,0102000020E610000002000000105E166ED4915EC082188D21A5C14740E6D830F9D5915EC0FA8E2B3FBAC14740,-122.2786849,47.5134963,-122.2785907,47.5128519,secondary,t,2019-03-04 11:51:45.643298-08
23287,0102000020E6100000030000003661564ECF915EC0D1D065BF42C14740A18092A7D1915EC0648511B177C14740105E166ED4915EC082188D21A5C14740,-122.2785907,47.5128519,-122.27827795444,47.5098494765422,secondary,t,2019-03-04 11:51:45.643298-08
23288,0102000020E610000002000000E6D830F9D5915EC0FA8E2B3FBAC147404582A966D6915EC0A91B83A9C1C14740,-122.278711,47.5137226,-122.2786849,47.5134963,secondary,t,2019-03-04 11:51:45.643298-08
23762,0102000020E61000000200000023A69FCBAF905EC0B76A8DF799C24740B9DEDB99AE905EC0FF30F8EA99C24740,-122.2606568,47.5203222,-122.2607297,47.5203237,primary,t,2019-03-04 11:51:45.643298-08
23763,0102000020E6100000030000005AB31D2CB4905EC0650B85B799C24740408864C8B1905EC05E3931DA99C2474023A69FCBAF905EC0B76A8DF799C24740,-122.2607297,47.5203237,-122.260996846203,47.5203160667068,primary,t,2019-03-04 11:51:45.643298-08
25863,0102000020E61000000300000010ABE408BE905EC0DE0D582888C247406FCA260ABE905EC0FCE483F986C247400AA6F512BE905EC00D13B2987DC24740,-122.2616012,47.5194579,-122.2615988,47.5197802,tertiary,t,2019-03-04 11:51:45.643298-08
25865,0102000020E610000002000000F24C1E05BE905EC02999F7938CC2474010ABE408BE905EC0DE0D582888C24740,-122.2615988,47.5197802,-122.2615979,47.5199151,tertiary,t,2019-03-04 11:51:45.643298-08
26334,0102000020E6100000020000001A52A0AA1D915EC0B67E9F1628C2474044300E2E1D915EC066FFF27FFDC14740,-122.267406,47.5155487,-122.2674357,47.5168484,residential,t,2019-03-04 11:51:45.643298-08
26335,0102000020E61000000200000036C75E94C5905EC0FE309D3127C247400F327F3BBF905EC05D39D62027C24740,-122.2616719,47.5168191,-122.2620593,47.5168211,tertiary,t,2019-03-04 11:51:45.643298-08
26336,0102000020E610000002000000B891B245D2905EC0AA60545227C2474036C75E94C5905EC0FE309D3127C24740,-122.2620593,47.5168211,-122.262834,47.516825,tertiary,t,2019-03-04 11:51:45.643298-08
26337,0102000020E610000002000000EC95687FD6905EC0391B3C5D27C24740B891B245D2905EC0AA60545227C24740,-122.262834,47.516825,-122.2630919,47.5168263,tertiary,t,2019-03-04 11:51:45.643298-08
26338,0102000020E6100000020000008E2848C7B0905EC0338C16FB26C24740F5BA4560AC905EC0C879FF1F27C24740,-122.260521,47.516819,-122.2607897,47.5168146,tertiary,t,2019-03-04 11:51:45.643298-08
26339,0102000020E6100000030000000F327F3BBF905EC05D39D62027C24740DECC4301B6905EC08185820827C247408E2848C7B0905EC0338C16FB26C24740,-122.2607897,47.5168146,-122.2616719,47.5168191,tertiary,t,2019-03-04 11:51:45.643298-08
26340,0102000020E610000003000000F5BA4560AC905EC0C879FF1F27C24740302306CBA2905EC0345E04D726C247406441BC0999905EC02E2B03BD26C24740,-122.2593407,47.5168072,-122.260521,47.516819,tertiary,t,2019-03-04 11:51:45.643298-08
26341,0102000020E6100000030000006441BC0999905EC02E2B03BD26C24740FE69FEF38F905EC0FE4A427D26C24740A20914B188905EC01C64ED4A26C24740,-122.258343,47.5167936,-122.2593407,47.5168072,tertiary,t,2019-03-04 11:51:45.643298-08
26342,0102000020E6100000020000001A52A0AA1D915EC0B67E9F1628C24740ADF314DE0A915EC0FD16F8E527C24740,-122.2662883,47.5168426,-122.2674357,47.5168484,tertiary,t,2019-03-04 11:51:45.643298-08
26343,0102000020E610000003000000ADF314DE0A915EC0FD16F8E527C247405FBDE54501915EC08CA3CDCC27C247408BF21659FC905EC0D46938C027C24740,-122.2654021,47.5168381,-122.2662883,47.5168426,tertiary,t,2019-03-04 11:51:45.643298-08
26344,0102000020E610000004000000EC7F25FCF7905EC0B0EF79B427C247406DBF21F9EF905EC0273A819F27C247404ABEC8BAEE905EC0D43B269C27C247409C317150E7905EC00AC5B18927C24740,-122.2641183,47.5168316,-122.2651358,47.5168367,tertiary,t,2019-03-04 11:51:45.643298-08
26345,0102000020E6100000020000008BF21659FC905EC0D46938C027C24740EC7F25FCF7905EC0B0EF79B427C24740,-122.2651358,47.5168367,-122.2654021,47.5168381,tertiary,t,2019-03-04 11:51:45.643298-08
26346,0102000020E610000003000000EA059FE6E4905EC063C8FB8227C24740E3361AC0DB905EC01BD47E6B27C24740EC95687FD6905EC0391B3C5D27C24740,-122.2630919,47.5168263,-122.263971,47.5168308,tertiary,t,2019-03-04 11:51:45.643298-08
26347,0102000020E6100000020000009C317150E7905EC00AC5B18927C24740EA059FE6E4905EC063C8FB8227C24740,-122.263971,47.5168308,-122.2641183,47.5168316,tertiary,t,2019-03-04 11:51:45.643298-08
7827,0102000020E61000000200000050DFD7EDD8975EC0DAF85D2228C34740196AB9D8D9975EC04BADF71BEDC24740,-122.3726713,47.522861,-122.3726153,47.5246623,residential,t,2019-03-04 11:51:45.643298-08
26644,0102000020E61000000300000029ECE090E0915EC0BE1DA30732C24740D5038B68E0915EC0B745990D32C24740C487C89FDE915EC06FDB526232C24740,-122.2792129,47.5171626,-122.279331416751,47.5171517893282,residential,t,2019-03-04 11:51:45.643298-08
26649,0102000020E610000009000000C487C89FDE915EC06FDB526232C2474063450DA6E1915EC02821A2E249C247405019FF3EE3915EC0E02F664B56C24740E5EC4218E4915EC012876C205DC247409B768C86E7915EC09111AB9A7BC24740A74FBC14E8915EC09911DE1E84C247408964236BE8915EC09A0C22AD8CC247408F24F72AE8915EC01823128596C24740D728C061E7915EC0C166CB43A2C24740,-122.279747426658,47.5205769293948,-122.2792129,47.5171626,secondary,t,2019-03-04 11:51:45.643298-08
26659,0102000020E61000000200000072780ABCD7915EC044EDB61BBAC14740E6D830F9D5915EC0FA8E2B3FBAC14740,-122.2786849,47.5134963,-122.278792391038,47.513492073364,residential,t,2019-03-04 11:51:45.643298-08
26660,0102000020E6100000080000004582A966D6915EC0A91B83A9C1C147409202B0A6D7915EC0E5FD6E70D8C1474062928087D8915EC0A7C2E96EE8C147407916CE7FD9915EC0DF27582DFAC147407F01182ADA915EC07524F2B803C2474060A0B5ECDA915EC023635A400DC247401EF3A6C7DB915EC012633EC516C24740243A15BADC915EC084E5194520C24740,-122.2790971,47.5166098,-122.278711,47.5137226,secondary,t,2019-03-04 11:51:45.643298-08
26802,0102000020E61000000200000046CABB8F48915EC0BAF8DB9E20C14740CB063D4B49915EC08C60C034F8C04740,-122.270098504635,47.5075746478406,-122.2700538,47.508808,tertiary,t,2019-03-04 11:51:45.643298-08
26803,0102000020E610000002000000D5287F5248915EC0C598AA6A38C1474046CABB8F48915EC0BAF8DB9E20C14740,-122.2700538,47.508808,-122.2700392,47.5095342,tertiary,t,2019-03-04 11:51:45.643298-08
26804,0102000020E6100000060000006A447A9B48915EC0946CD0F297C1474016461F9848915EC044801D4993C147407C6A508F48915EC091B8C7D287C14740888B378D48915EC098AF816385C147409FB6FC7648915EC0FA7B293C68C14740D5287F5248915EC0C598AA6A38C14740,-122.2700392,47.5095342,-122.2700566,47.5124496,tertiary,t,2019-03-04 11:51:45.643298-08
26805,0102000020E6100000040000008E4B0B4D48915EC005CD9D4FD3C147408E791D7148915EC055DD239BABC147401C34057C48915EC07BDF5394A6C147406A447A9B48915EC0946CD0F297C14740,-122.2700566,47.5124496,-122.2700379,47.5142612,tertiary,t,2019-03-04 11:51:45.643298-08
26806,0102000020E61000000200000076C4211B48915EC074475A8528C247408E4B0B4D48915EC012F5279600C24740,-122.2700379,47.5156429,-122.270026,47.5168616,tertiary,t,2019-03-04 11:51:45.643298-08
26807,0102000020E6100000020000008E4B0B4D48915EC012F5279600C247408E4B0B4D48915EC005CD9D4FD3C14740,-122.2700379,47.5142612,-122.2700379,47.5156429,tertiary,t,2019-03-04 11:51:45.643298-08
26808,0102000020E610000002000000A043CF1C48915EC03AF6A22C32C2474076C4211B48915EC074475A8528C24740,-122.270026,47.5168616,-122.2700264,47.5171562,tertiary,t,2019-03-04 11:51:45.643298-08
26970,0102000020E6100000020000004D5CD8E43A905EC0FAF609FBD1C047404183A8563A905EC0358CCC6D0CC14740,-122.2535607,47.5081918,-122.2535946,47.5064081,residential,t,2019-03-04 11:51:45.643298-08
26971,0102000020E610000002000000F648DE944D905EC0714859750CC147404183A8563A905EC0358CCC6D0CC14740,-122.2535607,47.5081918,-122.2547352,47.5081927,residential,t,2019-03-04 11:51:45.643298-08
26972,0102000020E61000000200000022872DE260905EC0CAA7C7B60CC14740F648DE944D905EC0714859750CC14740,-122.2547352,47.5081927,-122.2559133,47.5082005,residential,t,2019-03-04 11:51:45.643298-08
26973,0102000020E6100000020000004C88B9A46A905EC0B898FAD40CC1474022872DE260905EC0CAA7C7B60CC14740,-122.2559133,47.5082005,-122.256509,47.5082041,residential,t,2019-03-04 11:51:45.643298-08
26974,0102000020E610000002000000F230A30E61905EC050954AD3FBC04740C94C0B5D61905EC040817814CBC04740,-122.255942593608,47.5061975086596,-122.2559239,47.5076851,residential,t,2019-03-04 11:51:45.643298-08
26975,0102000020E61000000200000022872DE260905EC0CAA7C7B60CC14740F230A30E61905EC050954AD3FBC04740,-122.2559239,47.5076851,-122.2559133,47.5082005,residential,t,2019-03-04 11:51:45.643298-08
26977,0102000020E610000005000000993336CF6C905EC0F7ABA525FBC1474082F79F466B905EC0BD715298F7C147404744E7EB68905EC07E0A3664F2C1474022FA5A3C61905EC0A83EEB75E6C14740998FB5D05F905EC062985D41E4C14740,-122.2558481,47.5147783,-122.2566412,47.5154769,tertiary,t,2019-03-04 11:51:45.643298-08
