street_edge_id,osm_way_id,way_type
784,73345118,tertiary
785,73345129,secondary
786,73345129,secondary
787,73345129,secondary
788,73345181,tertiary
789,73345181,tertiary
790,73345181,tertiary
791,73345181,tertiary
792,73345181,tertiary
793,73345181,tertiary
794,73345181,tertiary
795,73345181,tertiary
796,85197512,residential
797,85215924,residential
798,85215924,residential
799,85215925,residential
800,85215926,residential
801,85215929,tertiary
802,85215929,tertiary
803,85215929,tertiary
804,85215929,tertiary
805,85215929,tertiary
806,85215929,tertiary
807,85215929,tertiary
808,85215929,tertiary
809,85215929,tertiary
810,85215930,residential
811,85364651,residential
812,85546495,residential
813,85546495,residential
855,100526928,secondary
814,85546496,residential
815,85546496,residential
816,85546496,residential
817,85546498,residential
818,85546499,residential
819,85546500,residential
820,85546502,residential
821,85546502,residential
822,85546502,residential
823,85546503,residential
824,85546503,residential
825,85546504,residential
826,85546505,residential
827,85546507,residential
828,86092292,tertiary
829,86092293,tertiary
830,86092294,residential
831,86092295,tertiary
832,86092295,tertiary
833,86092295,tertiary
834,86092295,tertiary
835,86092295,tertiary
836,86092295,tertiary
837,86092295,tertiary
838,86092296,residential
839,86092296,residential
840,100526909,secondary
841,100526910,secondary
842,100526911,tertiary
843,100526913,secondary
844,100526914,secondary
845,100526915,tertiary
846,100526917,secondary
847,100526918,tertiary
848,100526920,secondary
849,100526922,residential
850,100526925,tertiary
851,100526925,tertiary
852,100526927,secondary
853,100526928,secondary
854,100526928,secondary
856,100526928,secondary
857,100526928,secondary
858,100526929,tertiary
859,100526931,secondary
860,100526931,secondary
861,100526931,secondary
862,100526931,secondary
863,100526931,secondary
864,100526931,secondary
865,100526931,secondary
866,100526931,secondary
867,100526931,secondary
868,100526931,secondary
869,118251403,residential
870,118251403,residential
871,118776277,primary
872,118776277,primary
873,118776277,primary
874,118776277,primary
875,118776277,primary
876,127270359,primary
877,127270359,primary
878,127270359,primary
879,127270360,primary
880,127270360,primary
881,127270361,primary
882,127270361,primary
883,127270362,primary
884,127270362,primary
885,127270363,primary
886,127270363,primary
887,127270363,primary
888,127270364,primary
889,127270364,primary
890,127270367,residential
891,127270367,residential
892,145223639,tertiary
893,145223640,tertiary
894,145223644,residential
895,145223646,tertiary
896,145223648,tertiary
933,146254744,tertiary
897,145223648,tertiary
898,145223648,tertiary
899,145223648,tertiary
900,145223648,tertiary
901,145224869,residential
902,145224870,residential
903,145224870,residential
904,145224871,residential
905,145224872,residential
906,145224872,residential
907,145224872,residential
908,145224873,residential
909,145224874,residential
910,145224874,residential
911,145224874,residential
912,145224875,residential
913,145224875,residential
914,145224875,residential
915,145224875,residential
916,145224875,residential
917,145224875,residential
918,145224875,residential
919,145224875,residential
920,145224876,residential
921,145224878,residential
922,145224879,residential
923,145224879,residential
924,145224882,residential
925,145224883,residential
926,145224883,residential
