label_id,distance_to_intersection
145,0.0
18134,0.0
151,0.0
153,0.0
154,0.0
5580,0.0
5581,0.0
18142,0.0
5584,0.0
5585,0.0
5586,0.0
5587,0.0
5588,0.0
5589,0.0
5590,0.0
5591,0.0
146,32.896165640773035
16634,27.95105937737948
250,63.234151491087026
22,25.919038073675917
23,26.51845771757108
25,33.13502745067227
26,30.937320316662433
29,30.510240338022687
30,33.070203223806736
33,31.371067317710562
35,21.094885866395966
147,40.796347603025005
18136,38.035770588694085
18147,0.0
8914,0.0
9000,257.71266211092615
9042,28.742109007992735
9225,0.0
18148,35.13703796257604
16636,38.335349035726594
16637,28.01135965973231
9495,0.0
9667,0.0
36,12.68092381488336
10196,0.0
37,31.67048842087486
38,4.05230116643061
41,34.22182192235896
42,0.0
10861,33.82821329727098
43,0.0
44,0.0
45,31.976752931764953
46,32.00794970454318
47,31.247244098561495
49,36.29078350678041
50,38.73907048799887
51,32.284829751447106
53,32.76316106482429
251,55.586364083853226
252,57.41429911274189
253,57.14727980383679
255,38.20432366761458
256,34.39006032736378
257,44.39670068847154
143,38.94124332805964
148,57.990021404466205
149,54.19319508927803
150,52.02146001500756
16647,0.0
11108,0.0
18135,0.0
52,26.56238354609721
11114,0.0
11258,30.346328293807282
12362,0.0
10219,30.920074299676845
254,49.48559149726486
258,47.735649655180104
16646,35.40944431583771
11419,0.0
16658,0.0
14872,0.0
18133,45.61477950475029
11505,0.0
198,760.2553576143072
201,773.2290334629602
202,782.8856747064827
205,775.7185433497074
206,804.2142491602312
207,803.0743282082158
208,775.7956931625147
209,772.8090870807356
211,31.85109089276442
210,38.38015863983724
212,32.935379136883704
213,25.808359059499754
225,559.7087204911928
226,543.5775949397739
227,551.6482810230463
228,563.9443819032133
16668,48.30210334609418
16671,0.0
232,402.09223349911366
233,351.1825315490037
234,356.53005055691636
235,399.31911345937885
18159,34.160874739435314
245,31.79628739393337
16664,42.77331950389048
15686,38.21742750185114
18162,0.0
18164,0.0
18166,0.0
18165,0.0
15620,27.67916057495942
18172,0.0
18173,0.0
16660,28.25891841374963
246,34.586111134041225
247,35.44217370263779
13699,33.85957177068637
248,30.01985220806354
249,31.079507762510254
260,62.60239318317064
18186,44.32495829974949
261,60.30965681032275
457,46.5923630561858
18149,25.514909376936245
9265,40.77674143422048
459,33.008431963829004
460,43.722032261181596
461,34.706028819872856
462,38.0686453258694
455,41.230503100768466
463,37.7283848022334
16686,72.4707981428544
16688,0.0
476,740.863969530159
473,356.3343719688625
464,32.53441124385867
472,282.220587353726
474,570.7194106985726
475,635.1096214384295
16687,0.0
15807,25.554032074565235
16690,0.0
18137,32.231674844297004
18167,28.57234189851534
18190,0.0
18191,0.0
18192,0.0
18181,0.0
16692,0.0
18179,0.0
18160,38.94719024682153
522,82.28585007463901
18138,0.0
18201,0.0
15741,0.0
11578,26.408878233309515
478,710.7604263555967
9514,37.61504018365676
18194,29.023631030899942
16714,45.09120287926696
483,629.5313403732439
486,639.8738407533499
18180,0.0
492,760.8136876468506
498,642.2155680157409
499,610.1608570296141
502,474.76037778374666
503,517.9857106021989
504,474.76037778374666
18189,0.0
515,133.6982577590903
518,81.76547287151642
18175,0.0
18141,45.88219971878685
519,78.35224847632861
520,102.10491963525952
16705,64.59376234132584
16718,30.070110974790925
14360,30.24689262060479
521,91.45951453107656
18182,0.0
18185,41.14237783315714
523,64.74198345056702
524,59.99523056007409
525,86.01822793053627
526,88.3312459770463
527,91.35749776859791
529,77.72721244876006
528,73.91088692643768
530,76.43900401242728
18202,0.0
531,83.02367144304831
18163,0.0
18140,31.738799491375705
689,28.437096483959245
18176,0.0
18198,0.0
539,42.61623328007877
540,43.55329257824685
541,40.81015343393256
542,41.02885041064104
545,189.68624967505113
546,227.60995565012544
547,199.67688333927086
548,221.483873026157
549,252.96749292307865
690,28.556113169598838
550,236.9554961897885
551,284.1393564228417
552,239.39946382649634
559,78.97769588615036
558,81.76547287151642
18197,0.0
560,102.10491963525952
561,92.78866291586307
562,65.92592607635953
563,82.28585007463901
565,77.72721244876006
566,77.44785614409383
567,30.488916001139717
568,27.913180701232573
569,48.898861546175304
691,27.034552898793947
571,40.84928895659622
573,44.1350581809146
692,26.46538611946476
572,35.61886955848841
574,109.62591071513816
575,123.46874046050827
576,62.11027397747113
577,38.74669668664956
578,34.3978415622415
579,44.09344813913699
580,45.56914165295275
581,25.889461459053965
18143,19.886001774906525
18184,40.796347603025005
18150,23.503570605556668
18183,26.630265481864797
582,28.633171956861634
16771,41.07519113317355
583,23.251849512540645
693,25.164576278128198
18144,0.0
694,27.054478570200992
695,23.55857610226056
696,21.260563011832083
18203,34.95573901026497
588,40.63909484356379
