label_id,gsv_panorama_id,label_type,severity,geometry,zoom,heading,pitch,photographer_heading,photographer_pitch,user_id,lat,lng,cluster_id,clustered,cluster_label_count,way_type,distance_to_road,distance_to_intersection,tag,tag_count,description
9,8AsY4nlOJQAo8P5YYaEjzA,CurbRamp,1.0,POINT (-74.03411102294922 40.945518493652344),2,309.03570556640625,-15.723214149475098,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.94551849365234,-74.03411102294922,1205,1,2,residential,8.719586388685675,16.196217280220772,0.0,0.0,0.0
10,8AsY4nlOJQAo8P5YYaEjzA,NoSidewalk,5.0,POINT (-74.03414154052734 40.94554138183594),2,303.2321472167969,-13.580357551574709,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.94554138183594,-74.03414154052734,3290,0,1,residential,13.715870175127009,0.0,1.0,1.0,0.0
11,8AsY4nlOJQAo8P5YYaEjzA,CurbRamp,1.0,POINT (-74.0341567993164 40.9454345703125),2,266.7142944335937,-12.330357551574709,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.9454345703125,-74.0341567993164,1237,1,2,residential,16.168285285615223,28.69254884830238,0.0,0.0,0.0
12,8AsY4nlOJQAo8P5YYaEjzA,NoSidewalk,5.0,POINT (-74.0342025756836 40.9454460144043),2,270.8214416503906,-11.616071701049805,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.9454460144043,-74.0342025756836,3293,0,1,residential,24.68276855819683,0.0,1.0,1.0,0.0
14,8AsY4nlOJQAo8P5YYaEjzA,CurbRamp,1.0,POINT (-74.03398132324219 40.94548034667969),1,45.42856979370117,-33.78571319580078,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.94548034667969,-74.03398132324219,1183,1,2,residential,7.900726319850679,25.954706426361263,0.0,0.0,0.0
15,8AsY4nlOJQAo8P5YYaEjzA,CurbRamp,1.0,POINT (-74.03401184082031 40.94541549682617),1,151.17857360839844,-35.0,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.94541549682617,-74.03401184082031,1242,1,2,residential,17.18326547566661,30.27382662330742,0.0,0.0,0.0
17,Tu5MN4i-9qVTV2F-Hv7cMw,SurfaceProblem,2.0,POINT (-74.03417205810547 40.94540023803711),1,270.2410583496094,-22.3125,198.4378662109375,1.658447265625,503d2482-420f-454e-8118-aac2d22592aa,40.94540023803711,-74.03417205810547,8620,0,1,residential,16.43217092998642,0.0,1.0,2.0,0.0
18,Tu5MN4i-9qVTV2F-Hv7cMw,SurfaceProblem,1.0,POINT (-74.03421020507812 40.945350646972656),2,245.86607360839844,-18.1875,198.4378662109375,1.658447265625,503d2482-420f-454e-8118-aac2d22592aa,40.945350646972656,-74.03421020507812,8748,0,1,residential,21.057181333668908,0.0,1.0,1.0,0.0
19,Tu5MN4i-9qVTV2F-Hv7cMw,NoCurbRamp,3.0,POINT (-74.03411865234375 40.945396423339844),1,286.5647277832031,-35.0,198.4378662109375,1.658447265625,503d2482-420f-454e-8118-aac2d22592aa,40.94539642333984,-74.03411865234375,2485,0,1,residential,1.9431239352280545,33.850183408577486,1.0,2.0,0.0
20,Tu5MN4i-9qVTV2F-Hv7cMw,NoCurbRamp,3.0,POINT (-74.03404235839844 40.94538497924805),1,73.56473541259766,-23.0,198.4378662109375,1.658447265625,503d2482-420f-454e-8118-aac2d22592aa,40.94538497924805,-74.03404235839844,2408,0,1,residential,19.41142732427081,36.950772817285305,1.0,2.0,0.0
21,8AsY4nlOJQAo8P5YYaEjzA,NoCurbRamp,3.0,POINT (-74.03398132324219 40.94551467895508),1,9.439732551574709,-15.875,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.94551467895508,-74.03398132324219,2219,0,1,residential,19.6468584488136,28.34038012046785,1.0,2.0,0.0
22,Y5BVOQNX5JdRXdiQiKdHPA,NoCurbRamp,3.0,POINT (-74.03409576416016 40.9455451965332),1,225.06472778320312,-16.25,199.91802978515625,-0.549354553222656,503d2482-420f-454e-8118-aac2d22592aa,40.9455451965332,-74.03409576416016,2416,0,1,residential,12.638771808612605,23.254372285171076,1.0,2.0,0.0
23,8AsY4nlOJQAo8P5YYaEjzA,SurfaceProblem,3.0,POINT (-74.0340347290039 40.945350646972656),2,182.16294860839844,-19.72321510314941,108.5366439819336,-0.496017456054687,503d2482-420f-454e-8118-aac2d22592aa,40.945350646972656,-74.0340347290039,8623,0,1,residential,25.178264555032992,0.0,1.0,1.0,0.0
24,Tu5MN4i-9qVTV2F-Hv7cMw,SurfaceProblem,5.0,POINT (-74.03406524658203 40.94527053833008),3,165.1875,-12.133928298950195,198.4378662109375,1.658447265625,503d2482-420f-454e-8118-aac2d22592aa,40.94527053833008,-74.03406524658203,8687,1,2,residential,25.90271437077351,0.0,1.0,1.0,0.0
25,rXPms1PwEdke3PU8sZp7UA,SurfaceProblem,2.0,POINT (-74.03418731689453 40.94501495361328),3,161.77178955078125,-14.055268287658691,199.97735595703125,0.397010803222656,503d2482-420f-454e-8118-aac2d22592aa,40.94501495361328,-74.03418731689453,8613,0,1,residential,21.70543457422691,0.0,1.0,1.0,0.0
26,rXPms1PwEdke3PU8sZp7UA,SurfaceProblem,2.0,POINT (-74.03421020507812 40.944984436035156),3,172.69366455078125,-11.617768287658691,199.97735595703125,0.397010803222656,503d2482-420f-454e-8118-aac2d22592aa,40.94498443603516,-74.03421020507812,8446,0,1,residential,19.014237205886005,0.0,1.0,1.0,0.0
27,7pDHlqVEtaIL-DbjuR-Bwg,CurbRamp,1.0,POINT (-74.03434753417969 40.945045471191406),1,289.6802673339844,-35.0,198.4398193359375,-0.389183044433593,503d2482-420f-454e-8118-aac2d22592aa,40.945045471191406,-74.03434753417969,999,1,3,residential,23.84885821519391,52.3834807650849,0.0,0.0,0.0
28,7pDHlqVEtaIL-DbjuR-Bwg,NoSidewalk,3.0,POINT (-74.03443145751953 40.9450569152832),1,276.5552673339844,-19.25,198.4398193359375,-0.389183044433593,503d2482-420f-454e-8118-aac2d22592aa,40.9450569152832,-74.03443145751953,3286,1,2,residential,42.77700345780421,0.0,1.0,1.0,0.0
31,TyULFww2rAxw2eMujDvAyg,CurbRamp,1.0,POINT (-74.0344009399414 40.944923400878906),1,258.9659729003906,-30.66071510314941,196.4493560791016,0.6097564697265621,503d2482-420f-454e-8118-aac2d22592aa,40.944923400878906,-74.0344009399414,899,1,3,residential,0.6620301917134114,24.5634967065109,0.0,0.0,0.0
32,TyULFww2rAxw2eMujDvAyg,CurbRamp,1.0,POINT (-74.03441619873047 40.9449348449707),1,258.9659729003906,-30.66071510314941,196.4493560791016,0.6097564697265621,503d2482-420f-454e-8118-aac2d22592aa,40.9449348449707,-74.03441619873047,891,1,2,residential,1.9511698723415944,29.939963319545683,0.0,0.0,0.0
33,TyULFww2rAxw2eMujDvAyg,CurbRamp,1.0,POINT (-74.0342788696289 40.94483947753906),1,156.2159881591797,-23.16071510314941,196.4493560791016,0.6097564697265621,503d2482-420f-454e-8118-aac2d22592aa,40.94483947753906,-74.0342788696289,905,1,3,residential,14.845788551746145,23.284730911411785,0.0,0.0,0.0
