city,user_id,username
-cuenca,05caafd0-22e5-4c42-9c9c-f5acbc359cc9,mikey
-cuenca,5a376ea7-71b6-4ca0-b098-6abba7197e97,jonfroehlich
-taipei,b3e0193c-4d83-4f4e-a5c2-ca8e1d3edff2,mikey
-taipei,b9c68d60-de84-4898-adba-5348b35d3cff,jonfroehlich
-zurich,59960c3a-d756-4cda-9bdc-fa1199fa56da,mikey
-zurich,1ddf3719-dcc3-47fa-b011-f05ee72a2647,jonfroehlich
_validation,18f5f45c-3e8b-4a20-89a3-c3037700658c,mikey
_validation,4888e6c2-b2a2-4175-8d1f-57150bc0b50c,jonfroehlich
-la-piedad,7b63cd54-0486-4289-916f-9e43318e35dc,mikey
-la-piedad,d745a270-1e94-49ce-9ac5-69ac6db3d3d0,jonfroehlich
-oradell,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,jonfroehlich
-oradell,503d2482-420f-454e-8118-aac2d22592aa,mikey
-amsterdam,754d59f0-2402-4cdb-acbd-3f97ce5affa9,mikey
-amsterdam,f81cdb4b-ff1f-4329-a638-39022c73c781,jonfroehlich
-pittsburgh,e67fcb6a-7d15-401b-a25c-67469b5c1c57,mikey
-pittsburgh,daa7f708-a451-4c83-964e-4287f038cd90,jonfroehlich
-chicago,3e25ea1d-f762-421a-b98b-3cba36e1bbfb,mikey
-chicago,9eff1ebb-c702-4ac9-b580-b3897e2b8ec8,jonfroehlich
-newberg,31a1671f-e0f4-430c-810b-b6b1c20772d7,mikey
-newberg,d363619a-53e1-4ef4-a541-bb0278cae7c3,jonfroehlich
-columbus,b2c86ec3-cc00-4ee0-9bd4-72b6836cb935,mikey
-columbus,a6b8ddb9-1f35-4c66-89e0-e230e2d8db9f,jonfroehlich
-cdmx,2726c177-f8f0-44c4-aad4-bc2055099c2f,mikey
-cdmx,2638a22f-22d8-4cb5-8166-83fcbbd6ac29,jonfroehlich
-spgg,5a560915-3990-4af5-a3c0-c9c20c288959,mikey
-spgg,78bc63f8-ab3f-4518-bc04-927280a0c9dc,jonfroehlich
-seattle,87833d72-b357-4e2c-81cd-23f58ff04c59,jonfroehlich
-seattle,e4ff325c-309b-4ea6-8555-8f973e662362,mikey
