label_id,way_type,distance_to_road
9,residential,8.719586388685675
10,residential,13.715870175127009
12,residential,24.68276855819683
13,residential,9.825798834085932
34,residential,21.937413066236108
35,residential,42.0235042026841
36,residential,20.886445732152673
37,residential,40.341152745970774
38,residential,40.2016370846369
39,residential,31.24649138675864
40,residential,22.113516549017856
41,residential,32.09711136640724
42,residential,22.13589511800381
43,residential,34.33036306767857
44,residential,16.45692452242769
45,residential,24.674883754488082
46,residential,36.29767760153587
47,residential,20.52865418932733
48,residential,19.84697314045834
49,residential,34.363576346050024
50,residential,13.448556729086304
52,residential,11.208897513077776
51,residential,31.489331154588715
53,residential,32.42109728955611
54,residential,15.626262007289183
7153,residential,5.391110556827169
8072,residential,12.156479079157883
8073,residential,35.279712906990675
8074,residential,9.470425530087992
8075,residential,30.235969455823138
8077,residential,26.51296346535929
8078,residential,2.921704554654471
8076,residential,8.557153189577528
8079,residential,22.875756731368412
11,residential,16.168285285615223
17,residential,16.43217092998642
18,residential,21.057181333668908
19,residential,1.9431239352280543
20,residential,19.411427324270814
23,residential,25.178264555032992
24,residential,25.90271437077351
25,residential,21.70543457422691
26,residential,19.014237205886005
27,residential,23.84885821519391
6840,residential,18.993531284176058
6841,residential,27.29800488823594
6843,residential,40.084568543338385
7151,residential,15.750886894123806
7147,residential,23.508366107874856
7149,residential,30.34059185682523
7152,residential,16.245043390374878
7148,residential,28.627244544416342
7980,residential,16.7524780050194
7981,residential,25.178103140209725
14,residential,7.900726319850679
15,residential,17.18326547566661
16,residential,9.209209781083603
21,residential,19.646858448813596
7158,residential,13.007525011077782
7157,residential,27.300399146347825
7163,residential,16.538978888247392
7150,residential,24.146506347760948
7160,residential,29.288923114596635
7159,residential,20.44886658668698
7154,residential,11.816103691396691
7155,residential,14.802779408915384
7156,residential,30.43137981511582
12080,residential,8.989654748794552
12085,residential,13.34071444335402
12086,residential,21.608840012606517
12081,residential,9.276482900266016
12082,residential,10.868429159532326
12083,residential,11.155264003856077
12084,residential,6.958551975970384
22,residential,12.638771808612603
7618,residential,8.377861910829356
7620,residential,12.536991085190746
8037,residential,16.43890240703808
28,residential,42.77700345780421
31,residential,0.6620301917134114
32,residential,1.9511698723415942
6838,residential,2.6653937137146415
6839,residential,0.6334929868713579
6842,residential,1.891083348135759
6844,residential,45.7501144153369
6845,residential,19.364297465906287
6847,residential,25.869285670370793
6848,residential,32.12152241142043
7972,residential,38.790296747511185
7973,residential,27.501839696232494
7971,residential,11.399497385622922
7974,residential,10.84782252241153
7975,residential,29.243955624435905
7976,residential,29.867306208159565
7977,residential,33.75323911077618
7978,residential,33.903185502603684
7979,residential,18.571695425074417
7982,residential,6.60265297186041
33,residential,14.845788551746143
6837,residential,16.921800233205715
7983,residential,17.400881790451027
55,residential,25.55887204810645
57,residential,13.755639701007263
58,residential,13.341731622998616
59,residential,10.535272341965822
60,residential,23.321833782444454
63,residential,26.10602048240456
7966,residential,9.733749444901953
7968,residential,15.798887717933715
7969,residential,24.020448470098852
7970,residential,19.483697059379324
56,residential,11.719760572785624
62,residential,14.4672660570638
64,residential,25.908561002402962
65,residential,22.20017520752476
66,residential,22.706661541497017
67,residential,27.369861856864897
68,residential,29.795237755339336
69,residential,28.22007402423247
70,residential,31.65903393791488
71,residential,22.353032371251857
72,residential,34.66857542541153
73,residential,20.36613478654214
7967,residential,7.784105604398526
8070,residential,25.331394418626044
8068,residential,20.315037626354915
8069,residential,17.276115649671617
8071,residential,12.2935455570424
61,residential,25.041372338048724
7606,residential,2.134345074442799
7960,residential,25.33193724289815
7964,residential,22.808410009816377
7961,residential,14.17987420498584
7965,residential,19.64635099636079
74,residential,16.15989578082072
75,residential,26.81930962429687
76,residential,27.253486483478568
77,residential,26.90216633622823
78,residential,30.817921715811607
79,residential,28.003611606112774
80,residential,29.35296679769323
81,residential,24.68706940465681
8016,residential,10.191666557967586
8017,residential,26.531727109309074
8055,residential,32.07760383153263
8056,residential,29.173637457778593
8057,residential,34.98845622399547
82,residential,17.357844425941728
84,residential,17.500275951352332
85,residential,19.382334519664397
86,residential,28.541829395378898
7556,residential,26.43352890084097
7557,residential,19.927214893084685
8015,residential,28.22042876066134
8020,residential,31.452554055700073
8021,residential,28.260521903211696
83,residential,22.820298157236643
88,residential,24.748445106569562
89,residential,15.187429191935228
7990,residential,31.75548550198858
7991,residential,22.55790775478962
7992,residential,12.156614295196832
8013,residential,29.627134677326314
8014,residential,35.70506042769548
87,residential,18.53014978125102
90,residential,33.40791236352341
91,residential,36.26149321529207
92,residential,38.62029433069325
93,residential,25.206617761026067
94,residential,20.489006141855096
95,residential,34.954670113821535
96,residential,36.294124333635885
97,residential,31.56184728304935
98,residential,33.95352320891357
99,residential,32.155993142000376
100,residential,29.334721234530722
101,residential,31.51915704052033
105,residential,19.757699097972637
8018,residential,23.884874858666034
8019,residential,2.131154737962238
8058,residential,36.59634863853655
8059,residential,25.206617761026067
8060,residential,35.449590901209454
8061,residential,34.05255101143254
102,residential,29.698601788062895
