label_id,street_edge_id
10830,331320
10834,331320
10838,331320
10758,156097
10833,331320
26718,331320
3,331320
4,331320
5,331320
6,331320
7,331320
8,117289
9,317665
10,317664
11,117289
12,117289
13,317664
14,117289
16,117289
17,136462
18,136462
19,117290
20,117290
22,136461
23,117289
24,117290
25,117290
26,136924
27,136924
28,160318
29,160318
10839,331320
31,135115
33,135116
34,135116
36,119770
35,119770
37,119770
38,119770
7692,97583
21,136461
15,117289
10607,236339
10840,267502
26719,331320
10843,117367
10841,117367
10845,117367
10832,267502
10831,331320
10853,117367
10835,331320
10824,117367
10759,156097
10837,331320
39,135117
43,160318
42,160318
41,160318
44,160318
45,160318
46,160318
47,160318
48,160318
49,160318
50,160318
51,160318
52,160318
53,160318
54,160318
55,160318
56,136924
58,136924
59,136924
60,97583
61,269480
62,269480
63,269480
98,273957
101,273956
69,331320
102,298298
104,273955
103,273955
70,331320
105,273956
71,96636
10764,156098
10844,117367
26720,266237
10809,121147
57,136924
10827,117367
10846,117367
10842,117367
10857,117367
10783,121145
26736,120212
10847,117367
10808,269472
10836,117367
10772,121145
10773,121145
10850,117367
10777,121145
10778,121145
10860,117367
10861,117367
10871,112887
87,267514
88,267514
26737,331320
10859,117367
10866,112885
26740,241996
26742,241996
10800,269472
26721,266237
10517,239760
106,281745
72,117603
74,96636
75,117604
76,267514
77,273957
107,281745
79,273957
78,273957
108,273955
81,267514
82,267514
83,267514
85,267514
86,267514
89,267514
90,267514
10760,156097
10851,117367
10780,121145
10785,121145
10854,117367
10803,269472
10863,117367
125,151246
10865,117367
109,273955
91,267487
92,267487
93,267487
94,267514
95,267514
96,267514
110,298298
112,98468
113,98468
114,120359
115,151246
116,267492
117,267492
118,120359
119,267492
121,151246
122,120359
123,120359
132,219210
111,273956
134,151246
135,219210
136,151247
10026,239835
124,151246
10811,117367
10816,171975
10818,171975
97,267487
10765,156098
10810,117367
10795,106073
120,267492
10761,121145
10848,117367
26731,241817
26738,331320
26741,241996
26747,241996
26727,241853
26722,241853
4903,238304
10769,121145
10852,117367
10775,121145
10786,121145
10781,121145
10856,117367
10858,117367
149,166094
10767,121145
140,96636
141,96636
142,241605
144,241605
145,241605
167,317725
158,117604
159,96637
150,166094
160,96637
151,316960
152,316960
153,149889
154,149889
164,317725
155,96637
157,96637
162,96637
163,96637
165,317725
161,96637
26725,175136
10868,112885
10867,112887
10815,117367
10804,121147
10814,171964
156,117603
10821,171964
10823,117367
10790,121145
10820,171340
148,316957
10849,117367
26723,266237
26724,241853
26734,241853
26739,331320
10805,121147
10828,117367
10771,121145
176,316959
173,316958
10855,117367
10869,117368
168,317725
166,317725
169,316961
10864,117367
172,316958
174,316961
175,317724
177,316958
178,108644
179,158195
180,108644
181,158194
182,108644
183,108644
185,108644
186,108644
187,112618
188,112618
190,108645
189,108645
205,108647
209,317732
211,108649
323,172036
328,133483
337,117606
341,117606
343,172041
345,117607
10794,121145
10507,97569
10817,171975
10768,121145
170,317725
10788,121145
10870,117368
10789,121145
10862,117367
26726,266237
26729,241817
26733,241853
26735,241853
26744,241996
26743,241996
10872,117368
10876,117368
348,117607
351,241617
352,241617
353,172041
354,172041
357,317733
358,317732
360,172039
363,172039
375,172033
389,172034
390,172034
391,172034
415,218551
418,145069
421,149899
428,218553
442,317733
462,247684
463,108645
487,139478
10879,117368
515,258890
577,144824
526,156501
527,156501
533,156500
10885,117369
542,142130
545,142130
562,142131
565,142131
578,144824
582,144823
589,144824
591,144824
592,144824
10880,133570
595,144824
368,172040
26732,241853
546,142130
558,142131
425,108647
376,172033
10888,117369
10873,117368
10877,117368
10882,133569
596,144824
603,144825
606,144825
609,221235
610,240826
612,221235
614,221235
615,139478
616,139478
10881,117368
631,302443
648,240826
654,240826
657,240833
669,320483
670,97484
673,177489
675,174312
689,174312
948,269476
703,323711
704,323711
705,174312
707,174307
955,269475
711,174307
712,174307
726,171666
737,98479
738,98479
766,194647
769,163657
10884,133570
10887,133570
10890,133569
782,138480
791,240829
10895,133569
10897,133569
10898,133569
10899,133569
789,240829
729,98479
742,98476
695,174312
10874,117368
10889,133569
801,131509
10891,133569
822,331320
832,166490
840,112885
846,117367
851,121948
856,132219
869,171972
881,161809
882,161809
886,136291
904,99928
914,154187
922,239833
924,99952
932,143276
938,99951
959,239755
1019,119354
961,239755
966,112888
969,112888
977,112890
988,131938
994,131937
996,170771
1001,170771
1003,238322
1004,170772
26745,241996
10896,133569
1014,119353
1015,119353
1020,108440
1025,239756
1028,239756
1032,239755
1036,269153
1037,269153
1039,202066
10893,133569
957,239755
1018,119354
962,239755
10905,74318
1041,273785
1051,239760
1068,269489
1069,269489
1070,115898
1072,269489
1076,136289
1077,136289
10875,117368
1081,115893
1082,115893
1084,171974
1086,171960
1087,171960
1097,166221
1098,171960
1099,152974
1100,171062
1103,166221
316,133482
317,133482
193,108645
197,327530
198,247683
199,96638
200,96638
201,96638
202,327530
203,327530
206,108647
210,317732
217,108649
219,108651
220,108649
567,142131
568,142132
325,172035
327,133483
331,133483
332,133483
344,172042
347,117607
10878,117368
26746,241996
1056,108874
1058,115898
320,133482
356,117607
361,172039
365,172433
370,172040
393,172035
400,315902
402,172046
407,172045
430,218553
431,218552
433,258024
443,317733
574,144823
444,108647
446,145069
579,320484
469,247685
471,315901
474,315901
590,144824
482,156503
493,221235
10883,117369
501,144864
362,172039
410,172033
506,127297
508,194658
10892,133569
597,302443
524,156502
540,142130
541,142130
543,142130
547,142130
549,142130
559,142131
561,142131
598,302443
602,144825
607,240833
10906,74318
26748,241996
10901,79341
424,172433
10894,133569
494,139479
544,142130
623,221236
635,302443
646,156504
649,240826
660,240833
671,97484
672,267497
674,177489
679,174312
682,174312
889,136291
683,174312
686,174312
687,174312
696,174312
713,174307
717,98475
895,136290
720,98475
725,98475
734,98479
741,219211
746,177844
758,219209
759,256288
763,278793
764,278793
10914,196501
767,194645
10903,79341
776,163658
784,138480
787,278795
790,240830
798,240835
799,240835
803,132050
810,170015
811,238303
812,170016
640,156504
778,320481
643,156504
10911,196501
788,278795
786,278795
638,156504
823,331320
824,331320
825,331320
897,136290
925,239834
933,143276
828,331320
852,121948
864,238313
868,112884
873,171965
949,269475
954,269475
960,239755
963,239755
971,112888
991,238286
10904,79341
1017,108439
1026,239756
1043,273785
1034,269153
1033,269153
1038,202066
1040,202066
1044,273785
1047,273785
1048,202066
1054,167007
1057,108874
1063,269490
1088,171974
1102,171062
1104,152976
1108,152976
1110,152976
985,131937
1008,202064
10912,196501
965,238321
860,112884
863,97369
870,171972
1085,171960
936,163497
906,136289
1065,269490
1029,239756
26749,331320
1112,126570
364,172039
1119,143467
1125,143467
318,133482
194,327530
319,172036
204,108647
213,108649
214,108649
324,133483
329,133483
218,117605
335,117605
346,172041
349,117607
366,172434
372,172040
378,172040
381,158195
569,144863
570,144863
382,123747
383,123747
386,172036
394,315901
395,172035
398,172046
399,172046
404,247685
406,172045
408,172045
409,112619
413,158196
417,145069
427,172434
429,218552
448,123748
450,331320
451,331320
454,331320
411,172033
1124,143467
1114,152977
26750,108009
426,172433
334,117605
459,241616
460,241616
466,247685
473,315901
476,159101
572,142131
478,95760
481,156503
554,142130
488,139478
548,142130
551,142130
553,142130
622,139479
556,221236
560,142131
563,142131
627,156502
630,302443
633,302443
650,240826
688,174312
692,174312
995,238285
708,174307
709,174307
714,174307
728,171663
744,120361
760,256237
761,256237
1000,238322
804,239762
697,174312
698,174312
480,156503
678,174312
10920,71496
10908,79340
10907,79340
637,156504
464,247685
779,138481
10918,196501
783,138480
26751,108009
745,151246
656,144861
806,170015
829,166490
837,112889
839,117367
850,112887
853,112886
854,112886
858,112884
865,238313
866,97361
874,171972
875,161808
877,161808
883,136291
884,136291
888,136291
894,136290
896,136290
901,136290
908,136289
26752,108009
918,97569
926,99952
927,143276
928,99952
939,163496
941,99953
945,106073
953,269475
975,112889
976,166493
1007,170772
1016,108439
1023,239756
1030,239756
1031,239755
944,121147
967,112888
862,112884
992,131937
911,99928
951,269476
861,97369
1027,239756
843,117368
814,170016
813,238303
848,112886
1035,239755
1042,273785
1045,273785
1050,108874
1053,167007
1059,108875
1060,108875
1061,125677
1062,125677
1064,125677
1071,115898
1073,115897
1074,165015
1075,136289
1089,171960
1091,171960
1092,171960
26753,140730
1096,171960
1101,171062
1106,126570
1107,165015
1109,152976
1111,126570
1113,126570
1115,152977
1117,121146
1120,171062
1122,143467
195,108645
196,247683
207,108647
208,108647
216,108649
221,117606
321,172035
326,133483
333,117605
339,117606
1123,143467
10910,196501
1067,269494
10909,196501
1052,167007
1055,108875
330,133483
1049,108874
350,241617
373,158196
380,158195
384,172034
388,172034
396,315902
397,172046
403,172046
435,258024
436,317733
437,317733
438,317733
449,123748
461,241616
465,247685
470,247685
477,95760
485,139478
571,142131
489,139478
503,127297
517,281896
355,172041
525,156501
531,156500
550,142130
369,172040
479,156503
583,194657
586,194657
588,144822
367,172040
624,221236
632,302443
903,99928
422,172432
530,320482
359,172039
10913,71496
416,218551
505,127297
10919,71496
10922,71496
26754,108008
639,156504
645,156504
651,240826
659,240833
664,240833
665,144825
676,174312
685,174312
700,174312
716,174307
733,98479
735,98479
752,174311
754,177841
757,177852
771,163657
772,163657
800,131509
780,138480
781,138480
793,301964
794,301964
797,240835
807,170015
808,170015
905,136290
821,331320
909,136289
826,331320
910,136289
827,331320
831,166490
833,166490
835,112889
838,112885
841,112885
842,117368
844,112887
26755,108008
652,240826
10916,196501
730,98479
830,166490
10915,196501
815,238304
693,174312
836,112885
907,136289
845,112887
847,112887
942,121145
857,112884
859,97361
867,97361
871,171965
872,161808
876,161808
878,161808
879,136292
880,136292
885,136291
887,136291
890,136291
892,136291
893,136290
898,136290
899,136290
900,136290
912,99928
916,154187
919,239757
920,239757
923,99952
929,143275
930,99953
931,143275
934,99953
935,163497
940,163496
958,239755
943,106073
947,269476
950,269476
952,269475
964,112888
970,112888
972,112890
10923,71496
891,136291
937,99951
902,136290
921,277834
915,154187
849,121941
946,269473
26756,108008
983,131937
986,166494
989,170771
990,238286
993,131937
998,238321
999,170771
1002,170772
1006,170772
1012,202066
26757,331320
1021,119353
1022,239756
212,108649
215,108649
222,108651
223,117606
224,108651
225,108651
226,108651
227,108650
228,108650
230,108650
233,241615
234,145070
235,145070
236,241606
237,145070
238,149899
240,145071
241,145071
314,133482
322,172036
245,145071
246,145069
239,145071
987,166494
978,166493
9914,239835
9929,238294
984,131937
1024,239756
10807,121147
9918,164608
9919,164608
9924,238294
9931,239835
26759,331320
9921,164608
248,117605
249,145069
250,96636
252,117604
253,96636
254,96637
255,96637
256,117603
257,96637
261,108648
262,108648
263,108648
264,108648
265,108648
