label_id,tag,tag_count,description
9,1.0,1.0,0.0
10,1.0,1.0,0.0
11,0.0,0.0,0.0
12,1.0,1.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,1.0,1.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,1.0,1.0,0.0
24,1.0,1.0,0.0
25,1.0,1.0,0.0
26,1.0,2.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,1.0,1.0,0.0
31,1.0,2.0,0.0
32,1.0,1.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,1.0,1.0,0.0
41,1.0,1.0,0.0
42,1.0,1.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,1.0,1.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
93,0.0,0.0,0.0
94,1.0,1.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,1.0,2.0,0.0
109,1.0,1.0,0.0
110,1.0,1.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,1.0,1.0,0.0
115,0.0,0.0,0.0
116,1.0,1.0,0.0
117,1.0,1.0,0.0
118,1.0,1.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,1.0,1.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,1.0,1.0,0.0
128,0.0,0.0,0.0
129,1.0,1.0,0.0
130,1.0,1.0,0.0
131,0.0,0.0,0.0
132,1.0,1.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,1.0,2.0,0.0
136,1.0,1.0,0.0
138,1.0,1.0,0.0
139,0.0,0.0,0.0
140,1.0,1.0,0.0
141,0.0,0.0,0.0
142,1.0,1.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,1.0,2.0,0.0
148,1.0,1.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,1.0,1.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,1.0,1.0,0.0
172,1.0,1.0,0.0
173,1.0,1.0,0.0
174,1.0,1.0,0.0
175,1.0,1.0,0.0
176,1.0,1.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,1.0,1.0,0.0
180,1.0,1.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,1.0,1.0,0.0
184,1.0,1.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,1.0,1.0,0.0
188,1.0,1.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,1.0,2.0,0.0
192,1.0,1.0,0.0
193,1.0,2.0,0.0
194,1.0,1.0,0.0
195,1.0,1.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,1.0,1.0,0.0
199,1.0,1.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,1.0,1.0,0.0
205,1.0,1.0,0.0
206,1.0,1.0,0.0
207,1.0,1.0,0.0
208,1.0,1.0,0.0
210,1.0,1.0,0.0
211,1.0,1.0,0.0
212,1.0,1.0,0.0
213,1.0,1.0,0.0
214,1.0,1.0,0.0
215,1.0,1.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,1.0,1.0,0.0
220,1.0,1.0,0.0
222,1.0,1.0,0.0
223,1.0,1.0,0.0
224,1.0,1.0,0.0
225,0.0,0.0,0.0
226,1.0,1.0,0.0
227,1.0,1.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,0.0,0.0,0.0
